Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
142,French Polynesia,Pacific Region,40,39,1560,92,39.0,115
143,Nicaragua,Latin America,40,36,1379,57,34.48,117
144,Tajikistan,Asiatic Region,36,36,252,42,7.0,79
145,Kyrgyzstan,Asiatic Region,36,34,753,135,20.92,122
146,Guadeloupe,Latin America,36,36,819,63,22.75,90
147,Greenland,Western Europe,35,34,1488,208,42.51,109
148,Myanmar,Asiatic Region,35,33,1999,106,57.11,109
149,Eritrea,Africa,32,26,955,63,29.84,64
150,French Guiana,Latin America,31,30,1100,38,35.48,111
151,Honduras,Latin America,30,30,1098,25,36.6,95
152,Central African Republic,Africa,29,25,981,47,33.83,74
153,Dominican Republic,Latin America,29,27,1608,104,55.45,103
154,Eswatini,Africa,28,27,524,21,18.71,96
155,Guam,Pacific Region,27,26,1318,47,48.81,85
156,Falkland Islands (Malvinas),Latin America,26,24,935,126,35.96,57
157,El Salvador,Latin America,25,23,434,25,17.36,90
158,Rwanda,Africa,22,16,461,43,20.95,130
159,Guinea-Bissau,Africa,21,20,1382,264,65.81,78
160,Haïti,Latin America,19,15,651,63,34.26,88
161,Mauritania,Africa,18,17,611,29,33.94,62
162,Bermuda,Latin America,18,17,920,37,51.11,117
163,Guyana,Latin America,17,16,553,15,32.53,71
164,Angola,Africa,16,15,667,13,41.69,67
165,Netherlands Antilles,Latin America,15,13,324,13,21.6,63
166,Grenada,Latin America,15,14,398,14,26.53,85
167,Belize,Latin America,14,13,595,10,42.5,69
168,Burundi,Africa,14,13,258,14,18.43,71
169,Seychelles,Africa,14,14,246,23,17.57,85
170,Guinea,Africa,14,13,831,8,59.36,94
171,Lesotho,Africa,13,11,570,8,43.85,59
172,Virgin Islands (U.S.),Latin America,13,13,208,6,16.0,50
173,Vanuatu,Pacific Region,13,11,166,26,12.77,56
174,Chad,Africa,13,13,603,57,46.38,62
175,Solomon Islands,Pacific Region,13,13,387,18,29.77,64
176,Afghanistan,Asiatic Region,13,12,262,18,20.15,81
177,Bahamas,Latin America,12,10,365,8,30.42,76
178,Turkmenistan,Asiatic Region,12,8,135,19,11.25,41
179,Reunion,Africa,11,9,42,1,3.82,72
180,Maldives,Asiatic Region,10,10,294,5,29.4,51
181,Faroe Islands,Western Europe,10,10,440,50,44.0,91
182,Federated States of Micronesia,Pacific Region,10,9,284,20,28.4,56
183,Martinique,Latin America,10,10,307,4,30.7,68
184,Andorra,Western Europe,9,9,420,17,46.67,47
185,Dominica,Latin America,9,8,250,16,27.78,53
186,Tonga,Pacific Region,8,8,166,9,20.75,42
187,Sierra Leone,Africa,8,8,56,1,7.0,99
188,Samoa,Pacific Region,8,8,108,2,13.5,51
189,Suriname,Latin America,7,7,121,10,17.29,62
190,Montserrat,Latin America,7,7,796,26,113.71,41
191,Palau,Pacific Region,6,5,205,10,34.17,49
192,Democratic Republic Congo,Africa,6,6,392,1,65.33,103
193,Marshall Islands,Pacific Region,5,5,92,1,18.4,32
194,Bhutan,Asiatic Region,5,5,62,14,12.4,75
195,Cape Verde,Africa,5,5,66,11,13.2,53
196,Cayman Islands,Latin America,5,5,163,0,32.6,48
197,Sao Tome and Principe,Africa,5,5,197,8,39.4,26
198,Djibouti,Africa,5,4,62,0,12.4,44
199,Liberia,Africa,5,4,64,3,12.8,74
200,Saint Vincent and the Grenadines,Latin America,4,4,267,0,66.75,30
201,American Samoa,Pacific Region,4,4,100,2,25.0,37
202,Equatorial Guinea,Africa,4,4,86,10,21.5,40
203,Antigua and Barbuda,Latin America,3,3,18,2,6.0,35
204,Somalia,Africa,3,3,93,3,31.0,45
205,Timor-Leste,Asiatic Region,3,2,89,2,29.67,39
206,Gibraltar,Western Europe,2,2,38,0,19.0,48
207,Kiribati,Pacific Region,2,2,32,0,16.0,24
208,Comoros,Africa,2,2,17,2,8.5,31
209,Saint Lucia,Latin America,2,2,419,0,209.5,35
210,Mayotte,Africa,2,2,43,2,21.5,20
211,Northern Mariana Islands,Asiatic Region,2,2,135,3,67.5,25
212,Tuvalu,Pacific Region,1,1,6,0,6.0,17
213,Turks and Caicos Islands,Latin America,1,1,16,0,16.0,29
214,Saint Kitts and Nevis,Latin America,1,1,4,0,4.0,60
215,United States Minor Outlying Islands,Northern America,1,1,274,0,274.0,12
216,Svalbard and Jan Mayen,Western Europe,1,1,152,0,152.0,19
217,San Marino,Western Europe,1,1,6,0,6.0,56
218,Aruba,Latin America,1,1,19,3,19.0,30
219,Virgin Islands (British),Latin America,1,0,1,0,1.0,39
